disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
revised,7.12,7.01,yes,0.84,"Identify the continuation of the Eastern Roman Empire as the Byzantine Empire, and describe the diffusion of Christianity and the Latin language.","Identify the continuation of the Eastern Roman Empire as the Byzantine Empire including its use of Greek culture, and describe the diffusion of Christianity and the preservation of the Latin language.",Byzantine Empire: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.13,7.02,yes,0.61,"Explain the importance of Justinian's political, social, and architectural achievements.","Explain the importance of Justinian's political, social, and architectural achievements, including: • Expanding the empire • Spreading Christianity • The role of Theodora • Justinian Code • The Hagia Sophia",Byzantine Empire: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.14,7.03,yes,0.97,Analyze the importance of regional geography and the location of Constantinople in maintaining European culture.,"Analyze the importance of regional geography, trade, and the location of Constantinople in maintaining European culture.",Byzantine Empire: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.15,7.04,yes,0.87,"Identify and locate the geographical features of Southwest Asia and North Africa, including: • Arabian Peninsula • Arabian Sea • Black Sea • Caspian Sea • Euphrates River • Mecca • Mediterranean Sea • Persian Gulf • Red Sea • Tigris River","Identify and locate on a map the geographical and political features of Southwest Asia and North Africa, including: • Arabian Peninsula • Arabian Sea • Black Sea • Euphrates River • Mecca • Mediterranean Sea • Persian Gulf • Red Sea • Tigris River",Southwest Asia and North Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.16,7.05,yes,1.00,"Describe the origins and central features of Islam: • Key Person(s): Mohammad • Sacred Texts: The Quran and The Sunnah • Basic Beliefs: monotheism, Five Pillars","Describe the origins and central features of Islam: • Key Person(s): Mohammad • Sacred Texts: The Quran and The Sunnah • Basic Beliefs: monotheism, Five Pillars",Southwest Asia and North Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.17,7.06,yes,0.79,"Describe the diffusion of Islam, its culture, and the Arabic language.",Describe how trade and expansion led to the diffusion of Islamic culture and the Arabic language.,Southwest Asia and North Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.18,7.07,yes,0.90,Summarize the contributions of the region's scholars in the areas of: • Art • Geography • Literature • Mathematics • Medicine • Philosophy • Science,Summarize the contributions of the region’s scholars in the areas of: • Art • Literature • Mathematics • Medicine • Navigation • Science,Southwest Asia and North Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.19,7.08,yes,1.00,"Explain the importance of Mehmed II the Conqueror, the fall of Constantinople, and the establishment of the Ottoman Empire.","Explain the importance of Mehmed II the Conqueror, the fall of Constantinople, and the establishment of the Ottoman Empire.",Southwest Asia and North Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.20,7.09,yes,0.76,"Analyze the development of trade routes throughout Asia, Africa, and Europe and the expanding role of merchants.","Analyze the development of trade routes throughout Asia, Africa, and Europe and the expanding role of merchants, including the trade in spices, paper, textiles, and navigational tools.",Southwest Asia and North Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.21,7.10,yes,0.81,"Identify and locate the geographical features of West Africa, including: • Atlantic Ocean • Djenne • Gulf of Guinea • Niger River • The Sahara • Timbuktu","Identify and locate on a map the geographical and political features of West Africa, including: • Atlantic Ocean • Djenne • The Sahara • The Niger River • Timbuktu",West Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.22,7.11,yes,1.00,"Explain indigenous African spiritual traditions, including: ancestor worship, animism, and the relationship between humans and deities.","Explain indigenous African spiritual traditions, including ancestor worship, animism, and the relationship between humans and deities.",West Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.23,7.12,yes,1.00,"Analyze the growth of the kingdoms of Ghana, Mali, and Songhai, including cities such as Djenne and Timbuktu as centers of trade, culture, and learning.","Analyze the growth of the kingdoms of Ghana, Mali, and Songhai, including cities such as Djenne and Timbuktu as centers of trade, culture, and learning.",West Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
new,,7.13,,,,"Analyze how the exchange of salt, gold, and enslaved people along the Trans-Saharan trade route led to religious and cultural changes, such as the growth of Islam and the Arabic language.",West Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.25,7.14,yes,0.74,Explain the importance of griots in the transmission of West African history and culture.,Describe the role of griots and their use of oral traditions in the transmission of West African history and culture.,West Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
unchanged,7.26,7.15,yes,1.00,Explain the importance of the Malian king Mansa Musa and his pilgrimage to Mecca in 1324.,Explain the importance of the Malian king Mansa Musa and his pilgrimage to Mecca in 1324.,West Africa: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.01,7.16,yes,0.89,"Identify and locate the geographical features of East Asia, including: • China • Gobi Desert • Himalayan Mountains • Japan • Korean Peninsula • Pacific Ocean • Plateau of Tibet • Sea of Japan (East Sea) • Yangtze River • Yellow River","Identify and locate on a map the geographical and political features of East Asia, including: • China • Gobi Desert • Himalayan Mountains • Japan • Korean Peninsula • Pacific Ocean • Plateau of Tibet • Sea of Japan (i.e., East Sea) • Yangtze River • Yellow River",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.02,7.17,yes,0.66,Describe how the reunification of China prior to the Tang Dynasty helped spread Buddhist beliefs.,"Describe the reunification of China during the Sui Dynasty, including the spread of Buddhism and the building of the Grand Canal.",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
new,,7.18,,,,"Describe the developments (e.g., gunpowder and the reopening of the Silk Road) during the Tang Dynasty, including the expansion of Confucianism.",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
new,,7.19,,,,"Describe the developments (e.g., fast-ripening rice and mariner’s compass) during the Song Dynasty, and examine the role of Neo-Confucianism in instituting merit-based civil service exams.",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
revised,7.04,7.20,yes,0.75,"Examine the rise of the Mongol Empire, including the conquests of Genghis Khan.","Examine the rise of the Mongol Empire, including the conquests of Genghis Khan and Kublai Khan's establishment of the Yuan Dynasty.",East Asia: 400-1500s AD,7 | SEVENTH GRADE SOCIAL STUDIES
