disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
new,,8.01,,,,"Compare and contrast the British, Dutch, French, and Spanish colonies in North America, including their geographic location, economic focus, and treatment of American Indians.",Colonization (1607-1750),Colonization (1607-1750)
new,,8.02,,,,Explain the religious and/or economic motivations for the founding of the Thirteen English Colonies.,Colonization (1607-1750),Colonization (1607-1750)
new,,8.03,,,,"Describe hardships experienced by the early colonists, including the first years of the Jamestown and Plymouth colonies.",Colonization (1607-1750),Colonization (1607-1750)
new,,8.04,,,,"Identify and locate on a map the physical and political features of the Thirteen English Colonies, including: • Location of each colony • Three colonial regions (i.e., New England, Middle, and Southern) • Mississippi River • Appalachian Mountains • Ohio River",Colonization (1607-1750),Colonization (1607-1750)
new,,8.05,,,,"Compare and contrast the religious groups in the Thirteen English Colonies, including the Puritans and the Quakers.",Colonization (1607-1750),Colonization (1607-1750)
new,,8.06,,,,"Compare types of government in the Thirteen English Colonies, including self-government, representative government, and theocracy.",Colonization (1607-1750),Colonization (1607-1750)
new,,8.07,,,,"Explain the development of democratic ideologies that developed in the Thirteen English Colonies, including expansion of voting rights (e.g., Connecticut), freedom of religion, town meetings, and separation of church and state (e.g., Rhode Island).",Colonization (1607-1750),Colonization (1607-1750)
new,,8.08,,,,"Describe the three colonial regions, and explain the relationship between the geography and economy in the development of each area (e.g., resources and industries).",Colonization (1607-1750),Colonization (1607-1750)
new,,8.09,,,,"Describe the labor systems of the colonial period, including indentured servants, apprenticeships, and African enslavement.",Colonization (1607-1750),Colonization (1607-1750)
new,,8.10,,,,"Examine the origins and growth of African enslavement in the colonies, including the conditions of the Middle Passage, the impact of Bacon’s Rebellion, and the slave codes.",Colonization (1607-1750),Colonization (1607-1750)
new,,8.11,,,,Explain the economic impact of the triangular trade.,Colonization (1607-1750),Colonization (1607-1750)
unchanged,8.11,8.12,yes,1.00,"Describe the significance of the First Great Awakening, including its role in unifying the colonies and the growth of religious tolerance.","Describe the significance of the First Great Awakening, including its role in unifying the colonies and the growth of religious tolerance.",Colonization (1607-1750),Colonization (1607-1750)
revised,8.13,8.13,no,0.94,"Explain the significance of the Ohio River Valley leading to the French and Indian War and the events and consequences of the conflict, including: the massacre at Fort Loudoun, the Treaty of Paris of 1763, war debt, and the Proclamation Line of 1763.","Explain the significance of the Ohio River Valley leading to the French and Indian War and the events and consequences of the conflict, including the Treaty of Paris of 1763, war debt, and the Proclamation Line of 1763.",The American Revolution (1700-1783),The American Revolution (1700-1783)
new,,8.14,,,,Identify the influence of the Cumberland Gap in the settling of Tennessee.,The American Revolution (1700-1783),The American Revolution (1700-1783)
revised,8.14,8.15,yes,0.65,"Explain the political contributions of Benjamin Franklin to the U.S., including the ""Join or Die"" cartoon and Albany Plan of Union.","Analyze the influence of Benjamin Franklin as a revolutionary thinker, including the ""Join or Die"" cartoon, the Albany Plan of Union, and serving as an ambassador.",The American Revolution (1700-1783),The American Revolution (1700-1783)
new,,8.16,,,,"Analyze the events, ideas, and groups that led to the American Revolution, including: • Mercantilism • Navigation Acts • The Sugar Act, 1764 • The Quartering Act, 1765 • The Stamp Act, 1765 • The Boston Massacre, 1770 • The Boston Tea Party, 1773 • Intolerable/Coercive Acts, 1774 • Sons of Liberty • “taxation without representation” • Influence of colonial protests (e.g., boycotts)",The American Revolution (1700-1783),The American Revolution (1700-1783)
unchanged,8.17,8.17,no,0.97,"Locate and explain the significance of the battles of the American Revolution prior to the signing of the Declaration of Independence, including Lexington and Concord and Bunker (Breed’s) Hill.","Explain the significance of the battles of the American Revolution prior to the signing of the Declaration of Independence, including Lexington and Concord and Bunker (Breed’s) Hill.",The American Revolution (1700-1783),The American Revolution (1700-1783)
unchanged,8.16,8.18,yes,1.00,Explain the historical purposes and consequences of Thomas Paine's Common Sense.,Explain the historical purposes and consequences of Thomas Paine's Common Sense.,The American Revolution (1700-1783),The American Revolution (1700-1783)
